2025-09-13 17:03:01,933 - root - INFO - Logging initialized
2025-09-13 17:03:01,934 - root - INFO - Starting Course Scheduler application
2025-09-13 17:03:03,270 - course_scheduler.app.gui.main_window - INFO - UI setup completed
2025-09-13 17:03:03,271 - course_scheduler.app.gui.main_window - INFO - Main window initialized
2025-09-13 17:03:03,271 - root - INFO - Main window initialized successfully
2025-09-13 17:03:16,961 - course_scheduler.app.gui.file_settings - INFO - Selected Excel file: C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 17:03:26,643 - course_scheduler.app.gui.course_preview - INFO - Course preview updated with 66 courses
2025-09-13 17:03:26,645 - course_scheduler.app.gui.main_window - INFO - Loaded 66 courses from C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 17:03:41,128 - course_scheduler.app.gui.course_selection - INFO - Course selection window initialized
2025-09-13 17:03:52,869 - course_scheduler.app.gui.course_selection - INFO - Course selection: 4 courses selected
2025-09-13 17:03:52,978 - course_scheduler.app.scheduler.dfs - INFO - Starting DFS scheduling with 36 course groups
2025-09-13 17:03:52,978 - course_scheduler.app.scheduler.dfs - INFO - Mandatory courses: 4, Max results: 5
2025-09-13 17:03:52,978 - course_scheduler.app.scheduler.dfs - INFO - Search order: 4 mandatory + 32 optional
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Found 3 conflicts in schedule:
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M6: SOFT3215.1, MATH1112-PS.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,979 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at W6: SOFT3215-L.1, MATH1112.2
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at M6: SOFT3215.1, MATH1112-PS.1
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at W6: SOFT3215-L.1, MATH1112.2
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at W6: SOFT3215-L.1, MATH1112.2
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Found 3 conflicts in schedule:
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.3
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.3
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at M6: SOFT3215.1, MATH1112-PS.1
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:03:52,980 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.3
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.3
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.3
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.3
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at W6: SOFT3215-L.1, MATH1112.4
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at M6: SOFT3215.1, MATH1112-PS.1
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at W6: SOFT3215-L.1, MATH1112.4
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Conflict at W6: SOFT3215-L.1, MATH1112.4
2025-09-13 17:03:52,981 - course_scheduler.app.data.models - WARNING - Found 3 conflicts in schedule:
2025-09-13 17:03:52,983 - course_scheduler.app.data.models - WARNING - Conflict at M7: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,983 - course_scheduler.app.data.models - WARNING - Conflict at M8: SOFT3215.1, MATH1112.1
2025-09-13 17:03:52,983 - course_scheduler.app.data.models - WARNING - Conflict at M6: SOFT3215.1, MATH1112-PS.1
2025-09-13 17:03:52,983 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
