2025-09-13 15:56:53,777 - root - INFO - Logging initialized
2025-09-13 15:56:53,778 - root - INFO - Starting Course Scheduler application
2025-09-13 15:56:55,928 - course_scheduler.app.gui.main_window - INFO - Main window initialized
2025-09-13 15:56:55,928 - root - INFO - Main window initialized successfully
2025-09-13 15:57:07,438 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP4910.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,439 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP4912.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,439 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP4920.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,440 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,441 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,441 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112.3: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,442 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112.4: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,443 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112-PS.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,443 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112-PS.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,444 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH1112-PS.3: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,445 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2104.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,445 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2104.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,446 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2104.3: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,447 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2105.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,448 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2105.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,449 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2105-PS.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,449 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2105-PS.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,451 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course MATH2107.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
