2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,347 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,348 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,349 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,350 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,351 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,352 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
