2025-09-13 17:27:34,923 - root - INFO - Logging initialized
2025-09-13 17:27:34,923 - root - INFO - Starting Course Scheduler application
2025-09-13 17:27:36,233 - course_scheduler.app.gui.main_window - INFO - UI setup completed
2025-09-13 17:27:36,233 - course_scheduler.app.gui.main_window - INFO - Main window initialized
2025-09-13 17:27:36,233 - root - INFO - Main window initialized successfully
2025-09-13 17:27:56,164 - course_scheduler.app.gui.file_settings - INFO - Selected Excel file: C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 17:28:09,439 - course_scheduler.app.gui.course_preview - INFO - Course preview updated with 66 courses
2025-09-13 17:28:09,442 - course_scheduler.app.gui.main_window - INFO - Loaded 66 courses from C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 17:29:13,481 - course_scheduler.app.gui.course_selection - INFO - Course selection window initialized
2025-09-13 17:29:16,181 - course_scheduler.app.gui.course_selection - INFO - Course selection: 2 courses selected
2025-09-13 17:29:16,304 - course_scheduler.app.scheduler.dfs - INFO - Starting DFS scheduling with 36 course groups
2025-09-13 17:29:16,304 - course_scheduler.app.scheduler.dfs - INFO - Mandatory courses: 2, Max results: 500
2025-09-13 17:29:16,305 - course_scheduler.app.scheduler.dfs - INFO - Search order: 2 mandatory + 34 optional
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Conflict at Th7: CHEM1101.1, MATH1112-PS.3
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Conflict at Th6: CHEM1101.1, MATH1112.2
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Conflict at Th6: CHEM1101.1, MATH1112.2
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Conflict at Th6: CHEM1101.1, MATH1112.2
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Conflict at Th7: CHEM1101.1, MATH1112-PS.3
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:29:16,309 - course_scheduler.app.data.models - WARNING - Conflict at Th7: CHEM1101.1, MATH1112-PS.3
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Conflict at Th6: CHEM1101.1, MATH1112.4
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Conflict at Th6: CHEM1101.1, MATH1112.4
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Conflict at Th6: CHEM1101.1, MATH1112.4
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Conflict at Th7: CHEM1101.1, MATH1112-PS.3
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Found 2 conflicts in schedule:
2025-09-13 17:29:16,310 - course_scheduler.app.data.models - WARNING - Conflict at W3: COMP3112.1, COMP2112-L.1
